"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 15:28:23 IST 2022","Wed Sep 28 15:28:24 IST 2022","1018","Gradle suite","Gradle test","ekam.example.api.UserTests","ekam.example.api.UserTests","shouldReturnSingleUser","shouldReturnSingleUser",""
"passed","Wed Sep 28 15:28:23 IST 2022","Wed Sep 28 15:28:25 IST 2022","1993","Gradle suite","Gradle test","ekam.example.api.CreateUser.CreateUserTests","ekam.example.api.CreateUser.CreateUserTests","shouldCreateUser","shouldCreateUser",""
